MSP Diesel Field Sales Route App - Complete Cost Breakdown (2025)

SERVICE,METRIC,1 REP,5 REPS,10 REPS,20 REPS,FREE TIER LIMIT,COST AFTER FREE TIER,NOTES

MAPBOX API,,,,,,,,
,Directions API (daily),1-2 calls,5-10 calls,10-20 calls,20-40 calls,Included in free tier,Typically free,"1 call per route created, regardless of stops"
,Directions API (monthly),30-60 calls,150-300 calls,300-600 calls,600-1200 calls,Included in free tier,Typically free,Well within free tier limits
,Geocoding API (daily - NEW companies only),0-3 calls,0-10 calls,0-15 calls,0-30 calls,3333 calls/day,$0.75 per 1k after 100k/month,"Only for companies without cached coordinates"
,Geocoding API (monthly - NEW companies only),0-50 calls,0-100 calls,0-200 calls,0-400 calls,100000 calls/month,$0.75 per 1k,"After initial sync, minimal usage"
,"⚠️ CRITICAL: Geocoding with MemStorage (on restart)","500+ calls","500+ calls","500+ calls","500+ calls",3333 calls/day,$0.75 per 1k,"⚠️ Server restart re-geocodes ALL companies! Use PostgreSQL to avoid"
,Map Tiles (daily),10-20 loads,50-100 loads,100-200 loads,200-400 loads,6666 loads/day,~$6 per 1k views,For viewing routes on map
,Map Tiles (monthly),300-600 loads,1500-3000 loads,3000-6000 loads,6000-12000 loads,200000 loads/month,~$6 per 1k views,Only 1-6% of free tier used
,MONTHLY COST (stable server),$0,$0,$0,$0,N/A,N/A,All usage well within free tier
,MONTHLY COST (with restarts),$0-5,$0-10,$5-20,$10-40,N/A,N/A,"⚠️ Risk of exceeding free tier - add database!"

REPLIT DEPLOYMENT,,,,,,,,
,Deployment Type,Autoscale,Autoscale,Autoscale,Reserved VM,N/A,N/A,Recommendation based on team size
,Estimated Monthly Cost,$1-3,$3-8,$8-15,$20-40,N/A,N/A,"Autoscale: ~$1.05 base + usage, Reserved: $20-40 flat"
,Compute Units,Minimal,Low,Moderate,Predictable,Varies by plan,Usage-based,PWA is lightweight - minimal compute needed
,Bandwidth,<1GB,1-5GB,5-10GB,10-20GB,Plan dependent,$0.10 per GB (static),Data transfer costs
,Recommended Plan,Free + Core credits,Core ($25 credits/mo),Core ($25 credits/mo),Teams ($40/user credits),N/A,N/A,Core credits cover most usage
,PostgreSQL Database,$5,$5-10,$10-15,$15-20,N/A,N/A,"Replit Postgres - HIGHLY RECOMMENDED"
,MONTHLY COST (hosting + database),$6-8,$8-18,$18-30,$35-60,N/A,N/A,"Total Replit costs with PostgreSQL"

GOOGLE CLOUD PLATFORM (GCP) ALTERNATIVE,,,,,,,,
,Cloud Run (API server),~$5,~$8,~$12,~$20,N/A,Usage-based,"Serverless container, auto-scale 0-10 instances, 512MB RAM, 1 vCPU"
,Cloud SQL PostgreSQL (with PostGIS),$7-10,$10-15,$15-25,$25-35,N/A,Instance-based,"db-f1-micro to db-g1-small, automated backups, 7-day retention"
,Cloud Storage + CDN,$1-2,$2-3,$3-5,$5-8,N/A,$0.10/GB + $0.08/GB CDN,"Static assets (PWA bundle, service worker)"
,Secret Manager,$0.30,$0.30,$0.30,$0.30,N/A,$0.06/secret/month,"3-5 secrets (Mapbox, HubSpot tokens, session key)"
,Cloud Scheduler,$0.10,$0.10,$0.10,$0.10,N/A,$0.10/job/month,"Background job for HubSpot sync (every 15min)"
,Cloud Build (CI/CD),$0-2,$0-2,$2-5,$5-10,N/A,120 build-minutes/day free,"Automated deployments from GitHub"
,Cloud Logging + Monitoring,$0-1,$1-2,$2-5,$5-10,N/A,50GB logs/month free,"Application logs, error tracking, alerts"
,MONTHLY COST (GCP total),$13-20,$21-30,$34-52,$60-83,N/A,N/A,"Total GCP infrastructure costs"

HUBSPOT CRM INTEGRATION,,,,,,,,
,Integration Model,Client API Access,Client API Access,Client API Access,Client API Access,N/A,N/A,"✅ App connects to clients' existing HubSpot accounts"
,API Calls (daily),10-30 calls,50-150 calls,100-300 calls,200-600 calls,100000 calls/day,Client's quota,"Sync every 15min + check-in logging via client's API"
,API Calls (monthly),300-900 calls,1500-4500 calls,3000-9000 calls,6000-18000 calls,~3M calls/month (100k/day),Client's quota,"Well within typical client HubSpot limits"
,HubSpot Account Required,Client provides,Client provides,Client provides,Client provides,N/A,N/A,"✅ Clients use their own paid HubSpot subscriptions"
,Your HubSpot Costs,$0,$0,$0,$0,N/A,N/A,"✅ $0 - You're using client accounts via OAuth API"
,Client HubSpot Tier Needed,Starter+,Starter+,Professional+,Professional+,N/A,N/A,"Client needs API access (all paid tiers include this)"
,MONTHLY COST (to you),$0,$0,$0,$0,N/A,N/A,"✅ Zero cost - clients bring their own HubSpot"

SESSION STORAGE,,,,,,,,
,Storage Type (current),In-memory,In-memory,In-memory,In-memory,N/A,N/A,"⚠️ No database - data lost on restart!"
,Data Persistence (current),Temporary,Temporary,Temporary,Temporary,N/A,N/A,Resets on server restart
,Geocoding Risk (current),HIGH,HIGH,HIGH,HIGH,N/A,N/A,"⚠️ Every restart re-geocodes ALL companies"
,Recommended Solution,PostgreSQL,PostgreSQL,PostgreSQL,PostgreSQL,N/A,N/A,Essential for production use
,MONTHLY COST (current),$0,$0,$0,$0,N/A,N/A,"⚠️ Hidden geocoding costs on restarts"

AI MODELS,,,,,,,,
,OpenAI API,Not used,Not used,Not used,Not used,N/A,N/A,No AI features in current app
,Other AI Services,Not used,Not used,Not used,Not used,N/A,N/A,No costs
,MONTHLY COST,$0,$0,$0,$0,N/A,N/A,Zero AI costs

TOTAL MONTHLY COSTS - REPLIT HOSTING,,,,,,,,
